run_id,manifest_sha256,experiment,profile_label,tuple_count,fanout,split_threshold,merge_threshold,bad_leaf_count,corrupted_tuple_count,repetition,phase,index_name,idx_scan_delta,idx_tup_read_delta,idx_tup_fetch_delta,idx_blks_read_delta,idx_blks_hit_delta,relation_bytes,index_bytes,estimated_relation_rows,track_counts_enabled
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16751_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16751_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16767_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16767_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16767_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16857_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16857_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16857_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16873_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16873_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16873_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16975_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16975_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16975_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16991_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16991_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_16991_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17105_pkey,0,0,0,0,0,791699456,213188608,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17105_prefix_idx,6816,6816,6816,0,20448,791699456,215678976,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17105_root_idx,1,200,200,0,1,791699456,16384,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17121_pkey,0,0,0,0,0,791699456,213188608,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17121_prefix_idx,6816,6816,6816,0,20448,791699456,215678976,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,4,tree_localisation,merkle_node_17121_root_idx,1,200,200,0,1,791699456,16384,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16500_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16500_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16500_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16516_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16516_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16516_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16575_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16575_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16575_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16591_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16591_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16591_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16657_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16657_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16657_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16673_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16673_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16673_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16751_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16751_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16751_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16767_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16767_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16767_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16857_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16857_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16857_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16873_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16873_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16873_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16975_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16975_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16975_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16991_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16991_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_16991_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17105_pkey,0,0,0,0,0,791699456,213188608,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17105_prefix_idx,6816,6816,6816,0,20448,791699456,215678976,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17105_root_idx,1,200,200,0,1,791699456,16384,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17121_pkey,0,0,0,0,0,791699456,213188608,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17121_prefix_idx,6816,6816,6816,0,20448,791699456,215678976,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,5,tree_localisation,merkle_node_17121_root_idx,1,200,200,0,1,791699456,16384,6765010.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16500_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16500_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16500_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16516_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16516_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16516_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16575_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16575_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16575_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16591_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16591_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16591_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16657_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16657_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16657_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16673_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16673_prefix_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16673_root_idx,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16751_pkey,0,0,0,0,0,0,8192,0.0,True
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,b73980b6919c7da6c00955d59393f98b568d951736739d4b009ea674691e0ad4,size-scaling-k75-c300,fanout_f32_l16,15000000,32,32,8,75,300,6,tree_localisation,merkle_node_16751_prefix_idx,0,0,0,0,0,0,8192,0.0,True
